index,price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
3091,4995,5.0,1500.0,3.0,2.0,2,3,0,1
2708,3595,8.0,1100.0,3.0,1.0,1,0,0,0
2075,2599,9.0,665.0,1.0,1.0,2,0,0,1
1532,2900,1.0,950.0,1.0,1.0,1,0,0,0
1829,4149,2.0,1200.0,3.0,1.5,1,0,0,3
2619,3300,2.0,800.0,3.0,3.0,0,0,0,0
569,2900,3.0,1000.0,3.0,1.0,1,0,3,0
1299,3200,8.0,800.0,3.0,2.0,2,0,0,0
833,3700,6.0,1600.0,3.0,2.0,1,0,0,0
827,4000,5.0,1500.0,3.0,2.0,2,1,0,0
2796,4800,7.0,1500.0,3.0,2.5,1,0,0,0
2022,4695,1.0,1650.0,3.0,3.0,1,0,0,3
9,2995,9.0,732.0,1.0,1.0,2,0,0,3
14,2950,9.0,1162.0,1.0,2.0,2,0,0,3
0,3850,9.0,966.0,2.0,2.0,2,0,0,3
1233,5695,5.0,1429.0,3.0,1.5,2,3,0,3
2878,5000,5.0,1240.0,3.0,2.0,1,0,0,3
1667,9300,7.0,2200.0,4.0,2.5,2,0,0,3
1155,6000,7.0,1500.0,4.0,2.0,1,0,0,0
1983,5600,5.0,1800.0,4.0,1.0,2,0,0,3
644,5500,5.0,1800.0,4.0,2.0,2,0,0,0
1277,3150,8.0,1000.0,1.0,1.0,0,1,0,0
1252,3150,8.0,1000.0,1.0,1.0,0,1,0,0
785,4700,9.0,1750.0,2.0,2.0,2,0,0,3
2353,7999,4.0,2379.0,4.0,4.0,2,3,3,3
2198,4800,9.0,1700.0,4.0,2.5,2,0,0,3
2189,4400,7.0,1400.0,4.0,2.5,2,3,0,1
1417,3600,5.0,1000.0,4.0,2.0,1,0,0,0
2765,3950,9.0,1432.0,3.0,1.0,0,3,0,0
598,5555,5.0,1555.0,5.0,1.5,0,3,0,0
380,7950,6.0,1800.0,5.0,2.0,0,0,0,0
1663,10000,7.0,2000.0,6.0,2.0,2,0,2,1
328,1575,8.0,310.0,0.0,1.0,1,3,0,0
1215,2225,8.0,428.0,1.0,1.0,1,3,0,0
2027,2915,5.0,543.0,1.0,1.0,2,3,0,3
329,2445,8.0,400.0,2.0,1.0,1,3,0,0
1253,2195,8.0,404.0,1.0,1.0,1,3,0,0
2402,3250,8.0,1036.0,2.0,1.0,1,3,0,0
1422,5000,2.0,2100.0,6.0,3.0,0,0,0,0
784,2404,10.0,1032.0,1.0,1.0,2,3,0,3
2098,3995,9.0,1090.0,2.0,2.0,2,0,0,2
800,3807,10.0,1592.0,2.0,2.0,2,3,0,0
2947,3000,9.0,631.0,1.0,1.0,2,0,0,3
167,2917,9.0,721.0,1.0,1.0,2,0,0,3
1761,2574,9.0,736.0,1.0,1.0,2,3,0,3
1783,4242,9.0,981.0,2.0,2.0,2,3,0,3
2320,2288,9.0,433.0,0.0,1.0,2,3,0,3
2564,2500,9.0,800.0,1.0,1.5,2,0,0,0
825,3195,9.0,750.0,1.0,1.0,2,0,0,3
1199,2337,9.0,800.0,1.0,1.0,1,1,0,3
2086,2418,9.0,431.0,0.0,1.0,2,0,0,1
861,3980,9.0,1000.0,4.0,1.5,2,3,0,3
2035,5200,7.0,1800.0,5.0,2.0,2,0,0,0
1213,4595,6.0,1400.0,4.0,1.5,2,0,0,0
2478,2500,2.0,950.0,1.0,1.0,2,0,0,0
557,2292,8.0,515.0,1.0,1.0,2,3,0,0
1383,3363,9.0,1090.0,2.0,2.0,2,3,0,0
515,2643,8.0,769.0,1.0,1.0,2,3,0,3
