date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,Rent Free First Month - SHOWING TODAY -  Dolores Pk,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rent-free-first-month/7206524839.html,2750,1,700.0,castro / upper market,1Ba,"['application fee details: No fee with your credit report within 30 days of applying', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no laundry on site', 'no smoking', 'off-street parking']"
Oct  1,Beacon - 5th Floor Corner Unit with Floor to Ceiling Windows,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beacon-5th-floor-corner/7206519267.html,2595,1,690.0,SOMA / south beach,1Ba,"['apartment', 'w/d in unit', 'attached garage']"
Oct  1,"Remodeled 2 Bdrm, 1 Ba, 1 blk to USF, 2 blks to St Mary's and GG Park",https://sfbay.craigslist.org/sfc/apa/d/remodeled-2-bdrm-1-ba-1-blk-to-usf-2/7206536630.html,3495,2,,alamo square / nopa,1Ba,"['apartment', 'laundry in bldg', 'street parking']"
Oct  1,"One Month Free Rent! Dogpatch Luxury Amenity Bldg, Spacious 2bds, Pkg",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-one-month-free-rent/7206536526.html,4125,2,1095.0,potrero hill,2Ba,"['application fee details: $40.00 per applicant', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,Large Studio for rent in Laurel Village - parking available,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-studio-for-rent-in/7198517095.html,2100,,,laurel hts / presidio,1Ba,"['application fee details: $40.00', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Gorgeous remodeled studio in the heart of Russian Hill,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-remodeled-studio/7198006639.html,1895,,300.0,San Francisco,1Ba,"['application fee details: 40.00', 'cats are OK - purrr', 'apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,Remodeled Spacious 1bath on Franklin & Eddy! PKG Available!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-spacious-1bath/7206489346.html,1850,1,500.0,downtown / civic / van ness,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Spacious Modern Living,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-modern-living/7206536238.html,4068,2,1113.0,SOMA / south beach,2Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,Fully renovated ground floor Soma 1bd/1ba  + office.  Laundry in Unit,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-renovated-ground/7193832008.html,2995,1,670.0,SOMA / south beach,1Ba,"['application fee details: $40.00', 'cats are OK - purrr', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,"Bright 1bed/1bath - hardwood floors, double paned windows",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-1bed-1bath/7203925989.html,1995,1,415.0,NOPA,1Ba,"['cats are OK - purrr', 'apartment', 'no laundry on site', 'no smoking', 'attached garage']"
Oct  1,Top floor - fully renovated 2bed/1bath - in unit washer/dryer,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-fully-renovated/7203115262.html,3495,2,800.0,San Francisco,1Ba,"['application fee details: $40.00', 'cats are OK - purrr', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,Large 1 bedroom apartment in Laurel Village,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-1-bedroom-apartment/7198519712.html,2300,1,,laurel hts / presidio,1Ba,"['application fee details: $40.00', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Beautiful completely remodeled 1 bedroom with with high end finishes.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-completely/7193038740.html,2650,1,,nob hill,1Ba,"['application fee details: $40.00', 'cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,"Large 1 Bedroom in Marina w/ Huge Closets, Hardwood Floors",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-1-bedroom-in-marina/7206479648.html,2700,1,,marina / cow hollow,1Ba,"['apartment', 'no smoking']"
Oct  1,--->Price Drop! Large 2bd in Laurel Heights~Cats ok~Prkg Available!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-price-drop-large-2bd-in/7206530773.html,3250,2,,laurel hts / presidio,1Ba,"['cats are OK - purrr', 'apartment', 'laundry on site', 'no smoking', 'attached garage']"
Oct  1,Top floor - new kitchen - bright/sun filled - hardwood floors,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-new-kitchen/7197396989.html,2895,1,800.0,Marina,1Ba,"['cats are OK - purrr', 'apartment', 'no laundry on site', 'no smoking', 'street parking']"
Oct  1,"Enormous 1bed/bath with dining room, living room and office spaces",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-enormous-1bed-bath-with/7197986934.html,3695,1,1000.0,San Francisco,1Ba,"['application fee details: $40', 'cats are OK - purrr', 'apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,Top floor - 2bed/1bath - great natural light - tons of windows,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-2bed-1bath/7196787052.html,2650,2,635.0,San Francisco,1Ba,"['application fee details: $40.00', 'cats are OK - purrr', 'apartment', 'no laundry on site', 'no smoking', 'street parking']"
Oct  1,"APARTMENT 4 RENT - 1bd/1ba, TOP FLOOR",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-apartment-4-rent-1bd-1ba/7203963038.html,2800,1,800.0,laurel hts / presidio,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'no parking']"
Oct  1,"Breakfast Bar Seating, Balcony View for 1BD/1BA! CALL FOR SPECIAL!!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-breakfast-bar-seating/7206528887.html,2841,1,,hayes valley,1Ba,"['application fee details: $40', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
