price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
3800,8.0,1200.0,2.0,1.0,1,0,0,3
3100,4.0,750.0,2.0,1.0,1,1,0,3
3795,5.0,1050.0,2.0,1.0,1,0,0,3
2800,9.0,875.0,2.0,1.0,1,0,0,3
3100,2.0,1000.0,2.0,1.0,0,0,0,2
3300,7.0,1000.0,2.0,1.0,1,0,0,3
2765,10.0,902.0,2.0,1.5,0,0,0,0
3250,2.0,1000.0,2.0,1.0,1,0,0,0
3349,1.0,1400.0,3.0,1.0,1,0,0,0
4750,5.0,1421.0,3.0,1.5,0,3,0,0
7195,5.0,1651.0,3.0,2.0,2,3,0,3
4637,6.0,1108.0,3.0,2.0,0,3,0,3
2999,10.0,2000.0,3.0,2.0,1,0,3,0
3699,8.0,1100.0,3.0,1.0,0,3,0,0
4950,8.0,1000.0,3.0,1.5,0,0,0,0
3200,10.0,950.0,3.0,1.5,2,0,3,0
3800,7.0,1500.0,3.0,2.0,1,0,0,0
3900,8.0,1200.0,3.0,1.0,1,0,0,0
5100,4.0,1500.0,3.0,2.5,2,0,3,3
7654,8.0,1525.0,3.0,2.5,2,2,0,3
3698,9.0,900.0,3.0,1.0,1,3,0,0
4995,5.0,1500.0,3.0,2.0,2,3,0,1
3595,8.0,1100.0,3.0,1.0,1,0,0,0
2599,9.0,665.0,1.0,1.0,2,0,0,1
2900,1.0,950.0,1.0,1.0,1,0,0,0
4149,2.0,1200.0,3.0,1.5,1,0,0,3
3300,2.0,800.0,3.0,3.0,0,0,0,0
2900,3.0,1000.0,3.0,1.0,1,0,3,0
3200,8.0,800.0,3.0,2.0,2,0,0,0
3700,6.0,1600.0,3.0,2.0,1,0,0,0
4000,5.0,1500.0,3.0,2.0,2,1,0,0
4800,7.0,1500.0,3.0,2.5,1,0,0,0
4695,1.0,1650.0,3.0,3.0,1,0,0,3
2995,9.0,732.0,1.0,1.0,2,0,0,3
2950,9.0,1162.0,1.0,2.0,2,0,0,3
3850,9.0,966.0,2.0,2.0,2,0,0,3
5695,5.0,1429.0,3.0,1.5,2,3,0,3
5000,5.0,1240.0,3.0,2.0,1,0,0,3
9300,7.0,2200.0,4.0,2.5,2,0,0,3
6000,7.0,1500.0,4.0,2.0,1,0,0,0
5600,5.0,1800.0,4.0,1.0,2,0,0,3
5500,5.0,1800.0,4.0,2.0,2,0,0,0
3150,8.0,1000.0,1.0,1.0,0,1,0,0
3150,8.0,1000.0,1.0,1.0,0,1,0,0
4700,9.0,1750.0,2.0,2.0,2,0,0,3
7999,4.0,2379.0,4.0,4.0,2,3,3,3
4800,9.0,1700.0,4.0,2.5,2,0,0,3
4400,7.0,1400.0,4.0,2.5,2,3,0,1
3600,5.0,1000.0,4.0,2.0,1,0,0,0
3950,9.0,1432.0,3.0,1.0,0,3,0,0
5555,5.0,1555.0,5.0,1.5,0,3,0,0
7950,6.0,1800.0,5.0,2.0,0,0,0,0
10000,7.0,2000.0,6.0,2.0,2,0,2,1
1575,8.0,310.0,0.0,1.0,1,3,0,0
2225,8.0,428.0,1.0,1.0,1,3,0,0
2915,5.0,543.0,1.0,1.0,2,3,0,3
2445,8.0,400.0,2.0,1.0,1,3,0,0
2195,8.0,404.0,1.0,1.0,1,3,0,0
3250,8.0,1036.0,2.0,1.0,1,3,0,0
5000,2.0,2100.0,6.0,3.0,0,0,0,0
2404,10.0,1032.0,1.0,1.0,2,3,0,3
3995,9.0,1090.0,2.0,2.0,2,0,0,2
3807,10.0,1592.0,2.0,2.0,2,3,0,0
3000,9.0,631.0,1.0,1.0,2,0,0,3
2917,9.0,721.0,1.0,1.0,2,0,0,3
2574,9.0,736.0,1.0,1.0,2,3,0,3
4242,9.0,981.0,2.0,2.0,2,3,0,3
2288,9.0,433.0,0.0,1.0,2,3,0,3
2500,9.0,800.0,1.0,1.5,2,0,0,0
3195,9.0,750.0,1.0,1.0,2,0,0,3
2337,9.0,800.0,1.0,1.0,1,1,0,3
2418,9.0,431.0,0.0,1.0,2,0,0,1
3980,9.0,1000.0,4.0,1.5,2,3,0,3
5200,7.0,1800.0,5.0,2.0,2,0,0,0
4595,6.0,1400.0,4.0,1.5,2,0,0,0
2500,2.0,950.0,1.0,1.0,2,0,0,0
2292,8.0,515.0,1.0,1.0,2,3,0,0
3363,9.0,1090.0,2.0,2.0,2,3,0,0
2643,8.0,769.0,1.0,1.0,2,3,0,3
3500,8.0,1250.0,1.0,1.0,2,3,0,3
4495,9.0,1494.0,2.0,2.5,2,3,0,3
5650,6.0,936.0,4.0,2.0,0,0,0,0
4595,8.0,1200.0,3.0,1.0,1,0,0,0
2800,7.0,800.0,1.0,1.0,1,1,0,0
3600,2.0,1280.0,3.0,2.0,1,0,0,0
3099,9.0,921.0,2.0,2.0,2,3,0,3
3395,5.0,850.0,2.0,1.0,1,0,0,0
2695,1.0,780.0,1.0,1.0,1,1,0,0
5795,9.0,1620.0,4.0,3.0,2,3,0,3
2966,9.0,800.0,2.0,1.0,2,0,0,0
1218,9.0,200.0,0.0,1.0,1,0,0,0
5200,7.0,1000.0,3.0,1.0,2,0,2,1
3495,9.0,800.0,2.0,1.0,1,3,0,3
3500,8.0,850.0,2.0,1.0,2,0,0,0
3475,9.0,925.0,1.0,1.0,1,3,0,3
4395,6.0,1035.0,2.0,2.0,2,3,0,0
3850,9.0,1050.0,2.0,1.5,2,0,0,3
